# Curated head-coach tenures (NOT on TFRRS) — verified from school athletics sites.
# One row per head-coach tenure per team+gender. gender: m | f | both.
# end_year blank = current. start years marked from dated hires / "Nth season" bios.
# Where a school's early-window coach could not be verified, no row is given
# (the report shows '—' rather than a guess).
team,gender,coach_name,start_year,end_year,source
John Carroll,both,Kyle Basista,2014,2023,"jcusports.com: '10th season' 2023-24"
John Carroll,both,Steve Fuelling,2024,,"jcusports.com: named head XC Sept 2024"
Mount Union,both,Kevin Lucas,2009,,"athletics.mountunion.edu: 'year 17' in 2025"
Ohio Northern,both,Jason Maus,2010,,"oac.org: '17th-year head coach' in 2026"
Baldwin Wallace,both,Joe Eby,2015,,"bwyellowjackets.com: '11th season as head XC coach' in 2025"
Otterbein,both,Dara Ford,2014,2025,"denisonbigred.com: 'director of TF/XC at Otterbein since 2014'; to Denison 2026"
Wooster,both,Dennis Rice,1988,,"woosterathletics.com: '38th year as head coach' in 2026"
Oberlin,both,Ray Appenheimer,2004,2023,"goyeo.com: 20-yr director, transitioned before 2024-25"
Oberlin,both,Izzy Alexander,2024,,"goyeo.com: took over head XC July 2024"
Wittenberg,both,Craig Penney,2006,2018,"wittenberg viewbooks: Penney arrived Aug 2006"
Wittenberg,both,Paris Hilliard,2019,,"yahoo/news: 'took reins of XC in spring 2019'"
Heidelberg,both,Brian Grime,2014,2023,"bergathletics.com: resigned after '10th season' in 2024"
Heidelberg,both,Daniel Simpson,2024,,"bergathletics.com: hired head XC June 2024"
Kenyon,both,Duane Gomez,1983,2019,"kenyon.edu: XC coach since 1983; Kissane hired 2020"
Kenyon,both,Ciara Kissane,2020,2021,"athletics.kenyon.edu: hired July 2020"
Kenyon,both,Kirk Shellhouse,2023,,"athletics.kenyon.edu: '2024 his second' -> started 2023"
Ohio Wesleyan,both,Matt Wackerly,2018,2022,"battlingbishops.com: 'fifth season as head coach' (~2022)"
Ohio Wesleyan,both,Ben Carlson,2023,,"battlingbishops.com: men's XC coach by 2024, after 1 yr at Adrian"
Wilmington,both,Ron Combs,1997,,"wilmingtonquakers.com: '29th season' in 2025-26"
Case Western Reserve,both,Kathy Nortz Yohann,2001,,"athletics.case.edu: '25th season' 2025-26, since 2001"
Marietta,both,Andre English,2015,2016,"pioneers.marietta.edu: hired May 2015"
Marietta,both,Jason Davis,2017,2022,"pioneers.marietta.edu: 'sixth year' 2022-23"
Marietta,both,Eric Putnam,2023,,"pioneers.marietta.edu: hired Aug 2023"
Capital,both,Ian Kellogg,2024,,"athletics.capital.edu: hired director XC/TF Aug 2024"
Defiance,both,Nathan Christianson,2020,2022,"defiance.prestosports.com: joined Jan 2020"
Defiance,both,James Rollins,2023,,"defiance.prestosports.com: head coach since June 2023"
Mount St. Joseph,both,Tina Blakley,2016,2023,"msj.edu: head XC/TF coach (through 2023)"
Mount St. Joseph,both,Adam Cokonougher,2024,,"heartlandconf.org: hired Aug 2024"
Hiram,both,Dan Graber,2023,,"hiramterriers.com: named head coach Dec 2022 (2022-23)"
Bluffton,both,Connor Gulick,2022,,"heartlandconf.org: named head XC July 2022"
Denison,m,Mark FitzPatrick,2015,,"bigred.denison.edu: '11th season as Head Men's XC Coach' in 2025 -> since 2015"
Denison,f,Mark FitzPatrick,2015,2023,"bigred.denison.edu: led both squads 2015 until Rocco took women's XC in 2024"
Denison,f,Veronica Rocco,2024,,"denisonbigred.com: 'second-year head coach' in early 2026"
